name,load,startTime,endTime,startPos,endPos
DeRotterda.West.LW.LW02,4,2014-04-03 09:53:19,2014-04-03 09:53:26,8,7
DeRotterda.West.LW.LW02,4,2014-04-03 09:54:38,2014-04-03 09:54:55,7,0
DeRotterda.West.LW.LW02,3,2014-04-03 09:55:13,2014-04-03 09:55:25,0,4
DeRotterda.West.LW.LW02,3,2014-04-03 09:55:32,2014-04-03 09:55:43,4,0
DeRotterda.West.LW.LW02,0,2014-04-03 09:56:13,2014-04-03 09:56:30,0,8
DeRotterda.West.LW.LW02,4,2014-04-03 09:56:38,2014-04-03 09:56:56,8,0
DeRotterda.West.LW.LW02,0,2014-04-03 10:05:01,2014-04-03 10:05:18,0,7
DeRotterda.West.LW.LW02,10,2014-04-03 10:05:35,2014-04-03 10:05:52,7,0
DeRotterda.West.LW.LW02,4,2014-04-03 10:06:06,2014-04-03 10:07:04,0,44
DeRotterda.West.LW.LW02,9,2014-04-03 10:48:17,2014-04-03 10:49:11,44,0
DeRotterda.West.LW.LW02,4,2014-04-03 10:52:12,2014-04-03 10:52:40,0,18
DeRotterda.West.LW.LW02,6,2014-04-03 10:58:25,2014-04-03 10:58:52,18,0
DeRotterda.West.LW.LW02,5,2014-04-03 10:59:20,2014-04-03 10:59:47,0,17
DeRotterda.West.LW.LW02,2,2014-04-03 11:03:17,2014-04-03 11:03:28,17,21
DeRotterda.West.LW.LW02,9,2014-04-03 11:03:37,2014-04-03 11:04:07,21,0
DeRotterda.West.LW.LW02,0,2014-04-03 11:05:23,2014-04-03 11:06:17,0,44
DeRotterda.West.LW.LW02,14,2014-04-03 11:06:29,2014-04-03 11:06:55,44,25
DeRotterda.West.LW.LW02,4,2014-04-03 11:07:19,2014-04-03 11:07:44,25,7
DeRotterda.West.LW.LW02,6,2014-04-03 11:08:26,2014-04-03 11:08:43,7,0
DeRotterda.West.LW.LW02,8,2014-04-03 11:09:14,2014-04-03 11:09:25,0,3
DeRotterda.West.LW.LW02,13,2014-04-03 11:09:34,2014-04-03 11:09:46,3,7
DeRotterda.West.LW.LW02,8,2014-04-03 11:09:54,2014-04-03 11:10:13,7,18
DeRotterda.West.LW.LW02,5,2014-04-03 11:10:18,2014-04-03 11:10:32,18,25
DeRotterda.West.LW.LW02,3,2014-04-03 11:10:40,2014-04-03 11:11:15,25,0
DeRotterda.West.LW.LW02,0,2014-04-03 11:11:26,2014-04-03 11:11:42,0,7
DeRotterda.West.LW.LW02,6,2014-04-03 11:12:06,2014-04-03 11:12:22,7,0
DeRotterda.West.LW.LW02,4,2014-04-03 11:12:46,2014-04-03 11:12:56,0,2
DeRotterda.West.LW.LW02,0,2014-04-03 11:13:04,2014-04-03 11:13:19,2,9
DeRotterda.West.LW.LW02,14,2014-04-03 11:13:31,2014-04-03 11:13:41,9,12
DeRotterda.West.LW.LW02,15,2014-04-03 11:13:50,2014-04-03 11:14:26,12,41
DeRotterda.West.LW.LW02,5,2014-04-03 11:16:36,2014-04-03 11:18:03,41,0
DeRotterda.West.LW.LW02,4,2014-04-03 11:18:13,2014-04-03 11:18:24,0,2
DeRotterda.West.LW.LW02,9,2014-04-03 11:18:34,2014-04-03 11:18:47,2,7
DeRotterda.West.LW.LW02,5,2014-04-03 11:18:59,2014-04-03 11:19:10,7,12
DeRotterda.West.LW.LW02,5,2014-04-03 11:19:20,2014-04-03 11:19:30,12,15
DeRotterda.West.LW.LW02,2,2014-04-03 11:23:26,2014-04-03 11:23:42,15,25
DeRotterda.West.LW.LW02,11,2014-04-03 11:23:54,2014-04-03 11:24:03,25,24
